District,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise,Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Latrine,Households_Urban_Latrine,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
Bhiwani,Rural,100,45.9,5.3,49.2,456282.0,357047.0,99235.0,0.459,0.0,0.053,0.0,0.49200000000000005,0.0,175667.124,48823.62
Bhiwani,Total,100,45.0,5.1,56.9,456282.0,357047.0,99235.0,0.0,0.0,0.0,0.0,0.0,0.0,203159.743,56464.715
Bhiwani,Urban,100,41.6,4.4,86.8,456282.0,357047.0,99235.0,0.0,0.41600000000000004,0.0,0.044000000000000004,0.0,0.868,309916.796,86135.98
Rohtak,Rural,100,49.3,4.7,58.4,306942.0,342068.83946488297,131739.0,0.493,0.0,0.047,0.0,0.584,0.0,199768.20224749163,76935.576
Rohtak,Total,100,42.4,3.9,72.9,306942.0,342068.83946488297,131739.0,0.0,0.0,0.0,0.0,0.0,0.0,249368.18396989972,96037.73100000001
Rohtak,Urban,100,33.3,2.7,92.1,306942.0,342068.83946488297,131739.0,0.0,0.33299999999999996,0.0,0.027000000000000003,0.0,0.9209999999999999,315045.4011471572,121331.61899999999
Jhajjar,Rural,100,45.1,4.9,58.5,290144.0,211816.0,78328.0,0.451,0.0,0.049,0.0,0.585,0.0,123912.35999999999,45821.88
Jhajjar,Total,100,44.0,4.8,67.4,290144.0,211816.0,78328.0,0.0,0.0,0.0,0.0,0.0,0.0,142763.984,52793.072
Jhajjar,Urban,100,40.9,4.5,91.7,290144.0,211816.0,78328.0,0.0,0.409,0.0,0.045,0.0,0.917,194235.272,71826.776
Mahendragarh,Rural,100,42.1,3.1,39.0,267942.0,223726.00000000003,44216.0,0.42100000000000004,0.0,0.031000000000000003,0.0,0.39,0.0,87253.14000000001,17244.24
Mahendragarh,Total,100,41.4,3.0,44.3,267942.0,223726.00000000003,44216.0,0.0,0.0,0.0,0.0,0.0,0.0,99110.618,19587.688
Mahendragarh,Urban,100,37.2,2.8,77.2,267942.0,223726.00000000003,44216.0,0.0,0.37200000000000005,0.0,0.027999999999999997,0.0,0.772,172716.47200000004,34134.752
Rewari,Rural,100,41.7,3.3,49.8,268754.0,199449.0,69305.0,0.41700000000000004,0.0,0.033,0.0,0.498,0.0,99325.602,34513.89
Rewari,Total,100,39.0,3.1,59.4,268754.0,199449.0,69305.0,0.0,0.0,0.0,0.0,0.0,0.0,118472.70599999999,41167.17
Rewari,Urban,100,31.0,2.4,87.8,268754.0,199449.0,69305.0,0.0,0.31,0.0,0.024,0.0,0.878,175116.222,60849.79
Gurgaon,Rural,100,39.3,3.2,65.6,523691.0,141703.0,381988.0,0.39299999999999996,0.0,0.032,0.0,0.6559999999999999,0.0,92957.16799999999,250584.12799999997
Gurgaon,Total,100,30.7,3.7,84.6,523691.0,141703.0,381988.0,0.0,0.0,0.0,0.0,0.0,0.0,119880.738,323161.848
Gurgaon,Urban,100,27.4,3.9,91.7,523691.0,141703.0,381988.0,0.0,0.27399999999999997,0.0,0.039,0.0,0.917,129941.651,350282.99600000004
Mewat,Rural,100,58.4,9.0,17.8,223635.0,187398.0,36237.0,0.584,0.0,0.09,0.0,0.17800000000000002,0.0,33356.844000000005,6450.186000000001
Mewat,Total,100,56.3,8.5,23.4,223635.0,187398.0,36237.0,0.0,0.0,0.0,0.0,0.0,0.0,43851.132,8479.457999999999
Mewat,Urban,100,41.2,4.8,62.5,223635.0,187398.0,36237.0,0.0,0.41200000000000003,0.0,0.048,0.0,0.625,117123.75,22648.125
