District,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise,Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Latrine,Households_Urban_Latrine,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
Mainpuri,Rural,100,53.4,7.5,13.5,411258.0,338475.0,72783.0,0.534,0.0,0.075,0.0,0.135,0.0,45694.125,9825.705
Mainpuri,Total,100,51.6,7.0,23.2,411258.0,338475.0,72783.0,0.0,0.0,0.0,0.0,0.0,0.0,78526.2,16885.656
Mainpuri,Urban,100,41.6,4.4,75.4,411258.0,338475.0,72783.0,0.0,0.41600000000000004,0.0,0.044000000000000004,0.0,0.7540000000000001,255210.15,54878.382
Budaun,Rural,100,65.4,8.1,21.0,867624.0,710956.0,156668.0,0.654,0.0,0.081,0.0,0.21,0.0,149300.75999999998,32900.28
Budaun,Total,100,62.9,7.7,31.2,867624.0,710956.0,156668.0,0.0,0.0,0.0,0.0,0.0,0.0,221818.272,48880.416
Budaun,Urban,100,51.8,6.3,77.5,867624.0,710956.0,156668.0,0.0,0.518,0.0,0.063,0.0,0.775,550990.9,121417.7
Bareilly,Rural,100,63.0,7.7,44.8,994411.0,631613.0,362798.0,0.63,0.0,0.077,0.0,0.44799999999999995,0.0,282962.62399999995,162533.504
Bareilly,Total,100,57.0,6.3,62.0,994411.0,631613.0,362798.0,0.0,0.0,0.0,0.0,0.0,0.0,391600.06,224934.76
Bareilly,Urban,100,46.6,4.0,92.3,994411.0,631613.0,362798.0,0.0,0.466,0.0,0.04,0.0,0.923,582978.799,334862.554
Pilibhit,Rural,100,62.7,9.2,35.5,461390.0,371752.0,89638.0,0.627,0.0,0.092,0.0,0.355,0.0,131971.96,31821.489999999998
Pilibhit,Total,100,59.7,9.1,44.9,461390.0,371752.0,89638.0,0.0,0.0,0.0,0.0,0.0,0.0,166916.64800000002,40247.462
Pilibhit,Urban,100,45.6,8.4,88.8,461390.0,371752.0,89638.0,0.0,0.456,0.0,0.084,0.0,0.888,330115.776,79598.544
Shahjahanpur,Rural,100,61.5,12.0,27.0,655003.0,342068.83946488297,134714.0,0.615,0.0,0.12,0.0,0.27,0.0,92358.5866555184,36372.78
Shahjahanpur,Total,100,59.2,11.2,38.3,655003.0,342068.83946488297,134714.0,0.0,0.0,0.0,0.0,0.0,0.0,131012.36551505016,51595.46199999999
Shahjahanpur,Urban,100,49.7,8.2,85.9,655003.0,342068.83946488297,134714.0,0.0,0.49700000000000005,0.0,0.08199999999999999,0.0,0.8590000000000001,293837.1331003345,115719.32600000002
Kheri,Rural,100,64.0,11.1,18.3,862610.0,754938.0,107672.0,0.64,0.0,0.111,0.0,0.18300000000000002,0.0,138153.654,19703.976
Kheri,Total,100,61.9,10.9,24.8,862610.0,754938.0,107672.0,0.0,0.0,0.0,0.0,0.0,0.0,187224.624,26702.656
Kheri,Urban,100,45.8,8.9,76.2,862610.0,754938.0,107672.0,0.0,0.45799999999999996,0.0,0.08900000000000001,0.0,0.762,575262.756,82046.064
Sitapur,Rural,100,61.9,12.1,11.9,938902.0,827583.0,111319.0,0.619,0.0,0.121,0.0,0.11900000000000001,0.0,98482.37700000001,13246.961000000001
Sitapur,Total,100,59.9,11.8,18.3,938902.0,827583.0,111319.0,0.0,0.0,0.0,0.0,0.0,0.0,151447.68899999998,20371.377
Sitapur,Urban,100,42.4,8.5,72.0,938902.0,827583.0,111319.0,0.0,0.424,0.0,0.085,0.0,0.72,595859.76,80149.68
Hardoi,Rural,100,62.3,8.3,17.4,907677.0,786613.0,121064.00000000001,0.623,0.0,0.083,0.0,0.174,0.0,136870.66199999998,21065.136000000002
Hardoi,Total,100,60.3,8.1,24.5,907677.0,786613.0,121064.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,192720.185,29660.680000000004
Hardoi,Urban,100,46.4,6.6,74.0,907677.0,786613.0,121064.00000000001,0.0,0.46399999999999997,0.0,0.066,0.0,0.74,582093.62,89587.36000000002
Unnao,Rural,100,59.0,7.3,15.8,717356.0,342068.83946488297,121039.00000000001,0.59,0.0,0.073,0.0,0.158,0.0,54046.87663545151,19124.162000000004
Unnao,Total,100,56.6,6.9,24.9,717356.0,342068.83946488297,121039.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,85175.14102675585,30138.711000000003
Unnao,Urban,100,44.2,5.1,71.7,717356.0,342068.83946488297,121039.00000000001,0.0,0.44200000000000006,0.0,0.051,0.0,0.7170000000000001,245263.3578963211,86784.96300000002
Lucknow,Rural,100,57.2,8.3,21.5,1061721.0,344155.0,717566.0,0.5720000000000001,0.0,0.083,0.0,0.215,0.0,73993.325,154276.69
Lucknow,Total,100,39.8,5.5,65.6,1061721.0,344155.0,717566.0,0.0,0.0,0.0,0.0,0.0,0.0,225765.67999999996,470723.2959999999
Lucknow,Urban,100,31.1,4.1,87.7,1061721.0,344155.0,717566.0,0.0,0.311,0.0,0.040999999999999995,0.0,0.877,301823.935,629305.382
Rae Bareli,Rural,100,55.4,7.8,13.4,778418.0,705025.0,73393.0,0.554,0.0,0.078,0.0,0.134,0.0,94473.35,9834.662
Rae Bareli,Total,100,53.6,7.6,18.3,778418.0,705025.0,73393.0,0.0,0.0,0.0,0.0,0.0,0.0,129019.575,13430.919
Rae Bareli,Urban,100,34.1,5.2,71.1,778418.0,705025.0,73393.0,0.0,0.341,0.0,0.052000000000000005,0.0,0.711,501272.77499999997,52182.422999999995
Farrukhabad,Rural,100,59.6,8.6,23.9,411490.0,316647.0,94843.0,0.596,0.0,0.086,0.0,0.239,0.0,75678.633,22667.477
Farrukhabad,Total,100,56.5,7.8,36.8,411490.0,316647.0,94843.0,0.0,0.0,0.0,0.0,0.0,0.0,116526.096,34902.224
Farrukhabad,Urban,100,45.7,4.7,81.7,411490.0,316647.0,94843.0,0.0,0.457,0.0,0.047,0.0,0.8170000000000001,258700.59900000002,77486.731
Kannauj,Rural,100,58.3,8.8,21.7,365770.0,299785.0,65985.0,0.583,0.0,0.08800000000000001,0.0,0.217,0.0,65053.345,14318.745
Kannauj,Total,100,55.8,8.3,30.6,365770.0,299785.0,65985.0,0.0,0.0,0.0,0.0,0.0,0.0,91734.20999999999,20191.41
Kannauj,Urban,100,43.3,5.9,75.6,365770.0,299785.0,65985.0,0.0,0.433,0.0,0.059000000000000004,0.0,0.756,226637.45999999996,49884.659999999996
Etawah,Rural,100,54.7,7.8,19.8,351126.0,265643.0,85483.0,0.547,0.0,0.078,0.0,0.198,0.0,52597.314000000006,16925.634000000002
Etawah,Total,100,51.5,7.0,33.9,351126.0,265643.0,85483.0,0.0,0.0,0.0,0.0,0.0,0.0,90052.97699999998,28978.736999999997
Etawah,Urban,100,40.5,4.2,83.4,351126.0,265643.0,85483.0,0.0,0.405,0.0,0.042,0.0,0.8340000000000001,221546.26200000002,71292.822
Auraiya,Rural,100,55.2,9.0,20.4,314274.0,255836.0,58438.0,0.552,0.0,0.09,0.0,0.204,0.0,52190.543999999994,11921.351999999999
Auraiya,Total,100,52.5,8.2,29.3,314274.0,255836.0,58438.0,0.0,0.0,0.0,0.0,0.0,0.0,74959.94799999999,17122.334
Auraiya,Urban,100,38.6,4.0,75.2,314274.0,255836.0,58438.0,0.0,0.386,0.0,0.04,0.0,0.752,192388.672,43945.376
Kanpur Dehat,Rural,100,56.8,8.4,23.0,405256.0,363933.0,41323.0,0.568,0.0,0.084,0.0,0.23,0.0,83704.59,9504.29
Kanpur Dehat,Total,100,55.2,8.1,27.0,405256.0,363933.0,41323.0,0.0,0.0,0.0,0.0,0.0,0.0,98261.91,11157.210000000001
Kanpur Dehat,Urban,100,39.5,5.9,66.3,405256.0,363933.0,41323.0,0.0,0.395,0.0,0.059000000000000004,0.0,0.663,241287.57899999997,27397.148999999998
Kanpur Nagar,Rural,100,58.8,6.9,23.6,1049775.0,364869.0,684906.0,0.588,0.0,0.069,0.0,0.23600000000000002,0.0,86109.084,161637.81600000002
Kanpur Nagar,Total,100,45.8,5.6,63.3,1049775.0,364869.0,684906.0,0.0,0.0,0.0,0.0,0.0,0.0,230962.077,433545.498
Kanpur Nagar,Urban,100,38.7,4.8,85.2,1049775.0,364869.0,684906.0,0.0,0.387,0.0,0.048,0.0,0.8520000000000001,310868.388,583539.912
Jalaun,Rural,100,57.3,2.9,28.3,396421.0,304856.0,91565.0,0.573,0.0,0.028999999999999998,0.0,0.28300000000000003,0.0,86274.248,25912.895000000004
Jalaun,Total,100,53.4,3.1,39.9,396421.0,304856.0,91565.0,0.0,0.0,0.0,0.0,0.0,0.0,121637.544,36534.435
Jalaun,Urban,100,41.1,3.5,75.6,396421.0,304856.0,91565.0,0.0,0.41100000000000003,0.0,0.035,0.0,0.756,230471.13599999997,69223.13999999998
Jhansi,Rural,100,47.4,2.0,20.7,504913.0,309592.0,195321.0,0.474,0.0,0.02,0.0,0.207,0.0,64085.543999999994,40431.447
Jhansi,Total,100,41.6,1.9,41.1,504913.0,309592.0,195321.0,0.0,0.0,0.0,0.0,0.0,0.0,127242.312,80276.93100000001
Jhansi,Urban,100,32.9,1.9,71.6,504913.0,309592.0,195321.0,0.0,0.329,0.0,0.019,0.0,0.716,221667.872,139849.83599999998
Lalitpur,Rural,100,52.8,2.7,12.0,301832.0,258013.0,43819.0,0.528,0.0,0.027000000000000003,0.0,0.12,0.0,30961.559999999998,5258.28
Lalitpur,Total,100,50.4,2.7,19.4,301832.0,258013.0,43819.0,0.0,0.0,0.0,0.0,0.0,0.0,50054.522,8500.885999999999
Lalitpur,Urban,100,36.2,2.6,62.9,301832.0,258013.0,43819.0,0.0,0.36200000000000004,0.0,0.026000000000000002,0.0,0.629,162290.177,27562.151
Hamirpur,Rural,100,50.5,1.5,25.0,211348.0,196116.0,15232.0,0.505,0.0,0.015,0.0,0.25,0.0,49029.0,3808.0
Hamirpur,Rural,100,50.5,1.5,25.0,311381.0,342068.83946488297,55300.0,0.505,0.0,0.015,0.0,0.25,0.0,85517.20986622074,13825.0
Hamirpur,Total,100,48.1,1.5,32.8,211348.0,196116.0,15232.0,0.0,0.0,0.0,0.0,0.0,0.0,64326.047999999995,4996.096
Hamirpur,Total,100,48.1,1.5,32.8,311381.0,342068.83946488297,55300.0,0.0,0.0,0.0,0.0,0.0,0.0,112198.5793444816,18138.399999999998
Hamirpur,Urban,100,37.1,1.6,68.7,211348.0,196116.0,15232.0,0.0,0.371,0.0,0.016,0.0,0.687,134731.692,10464.384
Hamirpur,Urban,100,37.1,1.6,68.7,311381.0,342068.83946488297,55300.0,0.0,0.371,0.0,0.016,0.0,0.687,235001.29271237462,37991.100000000006
Mahoba,Rural,100,50.7,1.7,17.8,246823.0,198298.0,48525.0,0.507,0.0,0.017,0.0,0.17800000000000002,0.0,35297.044,8637.45
Mahoba,Total,100,50.2,1.7,25.5,246823.0,198298.0,48525.0,0.0,0.0,0.0,0.0,0.0,0.0,50565.99,12373.875
Mahoba,Urban,100,48.7,1.6,54.7,246823.0,198298.0,48525.0,0.0,0.48700000000000004,0.0,0.016,0.0,0.547,108469.00600000001,26543.175000000003
Banda,Rural,100,52.9,1.1,20.0,445625.0,378056.0,67569.0,0.529,0.0,0.011000000000000001,0.0,0.2,0.0,75611.2,13513.800000000001
Banda,Total,100,50.2,1.2,28.1,445625.0,378056.0,67569.0,0.0,0.0,0.0,0.0,0.0,0.0,106233.736,18986.889000000003
Banda,Urban,100,35.2,1.7,73.5,445625.0,378056.0,67569.0,0.0,0.35200000000000004,0.0,0.017,0.0,0.735,277871.16,49663.215
Chitrakoot,Rural,100,52.5,1.8,11.8,230795.0,207237.0,23558.0,0.525,0.0,0.018000000000000002,0.0,0.11800000000000001,0.0,24453.966,2779.844
Chitrakoot,Total,100,51.9,1.9,16.5,230795.0,207237.0,23558.0,0.0,0.0,0.0,0.0,0.0,0.0,34194.105,3887.07
Chitrakoot,Urban,100,46.7,2.7,58.7,230795.0,207237.0,23558.0,0.0,0.467,0.0,0.027000000000000003,0.0,0.5870000000000001,121648.11900000002,13828.546000000002
Fatehpur,Rural,100,57.4,5.7,18.3,636540.0,558807.0,77733.0,0.574,0.0,0.057,0.0,0.18300000000000002,0.0,102261.681,14225.139
Fatehpur,Total,100,55.4,5.5,24.7,636540.0,558807.0,77733.0,0.0,0.0,0.0,0.0,0.0,0.0,138025.329,19200.051
Fatehpur,Urban,100,40.9,4.3,72.1,636540.0,558807.0,77733.0,0.0,0.409,0.0,0.043,0.0,0.721,402899.847,56045.492999999995
Pratapgarh,Rural,100,44.7,6.3,11.3,234082.0,209813.0,24269.0,0.44700000000000006,0.0,0.063,0.0,0.113,0.0,23708.869000000002,2742.397
Pratapgarh,Rural,100,44.7,6.3,11.3,752786.0,711085.0,41701.0,0.44700000000000006,0.0,0.063,0.0,0.113,0.0,80352.605,4712.213
Pratapgarh,Total,100,44.0,6.1,14.0,234082.0,209813.0,24269.0,0.0,0.0,0.0,0.0,0.0,0.0,29373.820000000003,3397.6600000000003
Pratapgarh,Total,100,44.0,6.1,14.0,752786.0,711085.0,41701.0,0.0,0.0,0.0,0.0,0.0,0.0,99551.90000000001,5838.14
Pratapgarh,Urban,100,31.7,3.0,64.1,234082.0,209813.0,24269.0,0.0,0.317,0.0,0.03,0.0,0.6409999999999999,134490.13299999997,15556.428999999998
Pratapgarh,Urban,100,31.7,3.0,64.1,752786.0,711085.0,41701.0,0.0,0.317,0.0,0.03,0.0,0.6409999999999999,455805.4849999999,26730.340999999997
Kaushambi,Rural,100,55.2,4.4,13.8,380620.0,349856.0,30764.0,0.552,0.0,0.044000000000000004,0.0,0.138,0.0,48280.128000000004,4245.432000000001
Kaushambi,Total,100,54.2,4.4,16.7,380620.0,349856.0,30764.0,0.0,0.0,0.0,0.0,0.0,0.0,58425.95199999999,5137.588
Kaushambi,Urban,100,42.9,4.4,51.4,380620.0,349856.0,30764.0,0.0,0.429,0.0,0.044000000000000004,0.0,0.514,179825.984,15812.696
Allahabad,Rural,100,48.8,4.6,15.6,1248570.0,983266.0,265304.0,0.488,0.0,0.046,0.0,0.156,0.0,153389.496,41387.424
Allahabad,Total,100,44.7,4.2,31.0,1248570.0,983266.0,265304.0,0.0,0.0,0.0,0.0,0.0,0.0,304812.46,82244.24
Allahabad,Urban,100,30.5,2.9,84.0,1248570.0,983266.0,265304.0,0.0,0.305,0.0,0.028999999999999998,0.0,0.84,825943.44,222855.36
Bara Banki,Rural,100,50.9,11.9,13.2,714908.0,635840.0,79068.0,0.509,0.0,0.11900000000000001,0.0,0.132,0.0,83930.88,10436.976
Bara Banki,Total,100,49.8,11.6,18.3,714908.0,635840.0,79068.0,0.0,0.0,0.0,0.0,0.0,0.0,116358.72,14469.444
Bara Banki,Urban,100,39.5,8.8,67.8,714908.0,635840.0,79068.0,0.0,0.395,0.0,0.08800000000000001,0.0,0.6779999999999999,431099.51999999996,53608.10399999999
Faizabad,Rural,100,51.4,9.3,14.5,589666.0,510378.0,79288.0,0.514,0.0,0.09300000000000001,0.0,0.145,0.0,74004.81,11496.759999999998
Faizabad,Total,100,49.3,8.7,22.7,589666.0,510378.0,79288.0,0.0,0.0,0.0,0.0,0.0,0.0,115855.80599999998,17998.375999999997
Faizabad,Urban,100,36.1,4.9,76.2,589666.0,510378.0,79288.0,0.0,0.36100000000000004,0.0,0.049,0.0,0.762,388908.036,60417.456
Ambedkar Nagar,Rural,100,46.4,9.9,13.9,566590.0,501559.0,65030.99999999999,0.46399999999999997,0.0,0.099,0.0,0.139,0.0,69716.701,9039.309
Ambedkar Nagar,Total,100,45.9,9.9,18.6,566590.0,501559.0,65030.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,93289.97400000002,12095.766
Ambedkar Nagar,Urban,100,42.0,9.8,54.4,566590.0,501559.0,65030.99999999999,0.0,0.42,0.0,0.098,0.0,0.544,272848.096,35376.864
Sultanpur,Rural,100,49.8,8.6,13.1,889628.0,839737.0000000001,49891.0,0.498,0.0,0.086,0.0,0.131,0.0,110005.54700000002,6535.7210000000005
Sultanpur,Total,100,48.8,8.4,16.2,889628.0,839737.0000000001,49891.0,0.0,0.0,0.0,0.0,0.0,0.0,136037.39400000003,8082.342000000001
Sultanpur,Urban,100,29.7,4.4,72.9,889628.0,839737.0000000001,49891.0,0.0,0.297,0.0,0.044000000000000004,0.0,0.7290000000000001,612168.2730000002,36370.539000000004
Bahraich,Rural,100,61.7,8.6,10.5,760262.0,698520.0,61741.99999999999,0.617,0.0,0.086,0.0,0.105,0.0,73344.59999999999,6482.909999999999
Bahraich,Total,100,60.2,8.4,15.7,760262.0,698520.0,61741.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,109667.64,9693.493999999999
Bahraich,Urban,100,42.0,5.7,79.5,760262.0,698520.0,61741.99999999999,0.0,0.42,0.0,0.057,0.0,0.795,555323.4,49084.89
Shrawasti,Rural,100,56.2,6.8,10.4,257274.0,248769.99999999997,8504.0,0.562,0.0,0.068,0.0,0.10400000000000001,0.0,25872.079999999998,884.416
Shrawasti,Total,100,55.6,6.9,12.0,257274.0,248769.99999999997,8504.0,0.0,0.0,0.0,0.0,0.0,0.0,29852.399999999994,1020.48
Shrawasti,Urban,100,37.5,10.0,63.0,257274.0,248769.99999999997,8504.0,0.0,0.375,0.0,0.1,0.0,0.63,156725.09999999998,5357.52
Balrampur,Rural,100,56.7,6.7,10.2,445838.0,410070.0,35768.0,0.5670000000000001,0.0,0.067,0.0,0.102,0.0,41827.14,3648.336
Balrampur,Total,100,55.5,6.5,15.0,445838.0,410070.0,35768.0,0.0,0.0,0.0,0.0,0.0,0.0,61510.5,5365.2
Balrampur,Urban,100,40.5,4.1,71.9,445838.0,410070.0,35768.0,0.0,0.405,0.0,0.040999999999999995,0.0,0.7190000000000001,294840.33,25717.192000000003
Gonda,Rural,100,51.1,11.3,7.9,726372.0,673578.0,52794.00000000001,0.511,0.0,0.113,0.0,0.079,0.0,53212.662000000004,4170.726000000001
Gonda,Total,100,49.9,10.9,12.5,726372.0,673578.0,52794.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,84197.25,6599.250000000001
Gonda,Urban,100,32.5,4.4,77.1,726372.0,673578.0,52794.00000000001,0.0,0.325,0.0,0.044000000000000004,0.0,0.7709999999999999,519328.6379999999,40704.174
Siddharthnagar,Rural,100,44.8,6.6,10.4,513513.0,480164.99999999994,33348.0,0.44799999999999995,0.0,0.066,0.0,0.10400000000000001,0.0,49937.159999999996,3468.1920000000005
Siddharthnagar,Total,100,44.2,6.5,12.7,513513.0,480164.99999999994,33348.0,0.0,0.0,0.0,0.0,0.0,0.0,60980.954999999994,4235.196
Siddharthnagar,Urban,100,35.4,5.2,46.9,513513.0,480164.99999999994,33348.0,0.0,0.354,0.0,0.052000000000000005,0.0,0.469,225197.38499999995,15640.212
Basti,Rural,100,40.3,10.0,13.1,545025.0,342068.83946488297,31064.999999999996,0.40299999999999997,0.0,0.1,0.0,0.131,0.0,44811.01796989967,4069.515
Basti,Total,100,40.1,9.8,16.4,545025.0,342068.83946488297,31064.999999999996,0.0,0.0,0.0,0.0,0.0,0.0,56099.2896722408,5094.659999999999
Basti,Urban,100,35.7,6.8,72.1,545025.0,342068.83946488297,31064.999999999996,0.0,0.35700000000000004,0.0,0.068,0.0,0.721,246631.6332541806,22397.864999999998
Sant Kabir Nagar,Rural,100,43.4,10.2,12.3,352151.0,342068.83946488297,27179.000000000004,0.434,0.0,0.102,0.0,0.12300000000000001,0.0,42074.46725418061,3343.0170000000007
Sant Kabir Nagar,Total,100,43.0,9.9,15.0,352151.0,342068.83946488297,27179.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,51310.325919732444,4076.8500000000004
Sant Kabir Nagar,Urban,100,37.9,6.4,49.7,352151.0,342068.83946488297,27179.000000000004,0.0,0.379,0.0,0.064,0.0,0.49700000000000005,170008.21321404685,13507.963000000003
Mahrajganj,Rural,100,51.4,8.8,16.7,607079.0,573046.0,34033.0,0.514,0.0,0.08800000000000001,0.0,0.167,0.0,95698.68199999999,5683.5109999999995
Mahrajganj,Total,100,50.8,8.7,18.8,607079.0,573046.0,34033.0,0.0,0.0,0.0,0.0,0.0,0.0,107732.648,6398.204
Mahrajganj,Urban,100,39.3,5.8,58.4,607079.0,573046.0,34033.0,0.0,0.39299999999999996,0.0,0.057999999999999996,0.0,0.584,334658.864,19875.271999999997
Gorakhpur,Rural,100,46.8,8.9,18.6,951128.0,761958.0,189170.0,0.46799999999999997,0.0,0.08900000000000001,0.0,0.18600000000000003,0.0,141724.18800000002,35185.62
Gorakhpur,Total,100,43.8,7.9,30.7,951128.0,761958.0,189170.0,0.0,0.0,0.0,0.0,0.0,0.0,233921.106,58075.19
Gorakhpur,Urban,100,31.6,3.7,80.4,951128.0,761958.0,189170.0,0.0,0.316,0.0,0.037000000000000005,0.0,0.804,612614.2320000001,152092.68000000002
Kushinagar,Rural,100,55.9,8.5,14.8,785099.0,342068.83946488297,42775.0,0.559,0.0,0.085,0.0,0.14800000000000002,0.0,50626.18824080269,6330.700000000001
Kushinagar,Total,100,55.1,8.5,17.0,785099.0,342068.83946488297,42775.0,0.0,0.0,0.0,0.0,0.0,0.0,58151.70270903011,7271.750000000001
Kushinagar,Urban,100,38.7,9.4,62.3,785099.0,342068.83946488297,42775.0,0.0,0.387,0.0,0.094,0.0,0.623,213108.8869866221,26648.825
Deoria,Rural,100,46.5,8.5,16.7,665706.0,597778.0,67928.0,0.465,0.0,0.085,0.0,0.167,0.0,99828.92599999999,11343.975999999999
Deoria,Total,100,45.3,8.3,21.2,665706.0,597778.0,67928.0,0.0,0.0,0.0,0.0,0.0,0.0,126728.936,14400.735999999999
Deoria,Urban,100,33.6,6.6,62.4,665706.0,597778.0,67928.0,0.0,0.336,0.0,0.066,0.0,0.624,373013.472,42387.072
Azamgarh,Rural,100,48.3,9.0,16.8,971458.0,891024.0,80434.0,0.483,0.0,0.09,0.0,0.168,0.0,149692.032,13512.912
Azamgarh,Total,100,47.4,8.7,20.5,971458.0,891024.0,80434.0,0.0,0.0,0.0,0.0,0.0,0.0,182659.91999999998,16488.969999999998
Azamgarh,Urban,100,37.4,4.8,64.6,971458.0,891024.0,80434.0,0.0,0.374,0.0,0.048,0.0,0.6459999999999999,575601.504,51960.363999999994
Mau,Rural,100,47.2,10.1,17.6,451528.0,352207.0,99321.0,0.47200000000000003,0.0,0.10099999999999999,0.0,0.17600000000000002,0.0,61988.43200000001,17480.496000000003
Mau,Total,100,46.5,9.4,27.4,451528.0,352207.0,99321.0,0.0,0.0,0.0,0.0,0.0,0.0,96504.718,27213.953999999998
Mau,Urban,100,44.1,6.8,63.5,451528.0,352207.0,99321.0,0.0,0.441,0.0,0.068,0.0,0.635,223651.445,63068.835
Ballia,Rural,100,47.7,12.8,22.2,629381.0,564927.0,64454.0,0.47700000000000004,0.0,0.128,0.0,0.222,0.0,125413.794,14308.788
Ballia,Total,100,46.6,12.4,25.9,629381.0,564927.0,64454.0,0.0,0.0,0.0,0.0,0.0,0.0,146316.093,16693.586
Ballia,Urban,100,36.1,9.3,61.0,629381.0,564927.0,64454.0,0.0,0.36100000000000004,0.0,0.09300000000000001,0.0,0.61,344605.47,39316.94
Jaunpur,Rural,100,46.1,7.2,15.4,1006670.0,926087.9999999999,80582.0,0.461,0.0,0.07200000000000001,0.0,0.154,0.0,142617.55199999997,12409.628
Jaunpur,Total,100,46.0,7.0,19.8,1006670.0,926087.9999999999,80582.0,0.0,0.0,0.0,0.0,0.0,0.0,183365.424,15955.236
Jaunpur,Urban,100,44.5,4.4,71.8,1006670.0,926087.9999999999,80582.0,0.0,0.445,0.0,0.044000000000000004,0.0,0.718,664931.1839999999,57857.876
Ghazipur,Rural,100,51.2,10.4,18.6,761640.0,700173.0,61466.99999999999,0.512,0.0,0.10400000000000001,0.0,0.18600000000000003,0.0,130232.17800000001,11432.862000000001
Ghazipur,Total,100,50.2,10.2,22.1,761640.0,700173.0,61466.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,154738.233,13584.206999999999
Ghazipur,Urban,100,38.4,7.3,65.5,761640.0,700173.0,61466.99999999999,0.0,0.384,0.0,0.073,0.0,0.655,458613.315,40260.884999999995
Chandauli,Rural,100,49.0,6.8,18.8,395759.0,344937.0,50822.0,0.49,0.0,0.068,0.0,0.188,0.0,64848.156,9554.536
Chandauli,Total,100,47.5,6.6,25.3,395759.0,344937.0,50822.0,0.0,0.0,0.0,0.0,0.0,0.0,87269.061,12857.966
Chandauli,Urban,100,36.8,4.6,69.2,395759.0,344937.0,50822.0,0.0,0.368,0.0,0.046,0.0,0.6920000000000001,238696.404,35168.824
Varanasi,Rural,100,47.6,6.7,27.1,755064.0,438935.00000000006,316129.0,0.47600000000000003,0.0,0.067,0.0,0.271,0.0,118951.38500000002,85670.959
Varanasi,Total,100,42.4,5.3,54.5,755064.0,438935.00000000006,316129.0,0.0,0.0,0.0,0.0,0.0,0.0,239219.57500000004,172290.30500000002
Varanasi,Urban,100,35.8,3.5,89.0,755064.0,438935.00000000006,316129.0,0.0,0.358,0.0,0.035,0.0,0.89,390652.1500000001,281354.81
Sant Ravidas Nagar (Bhadohi),Rural,100,47.7,6.2,12.6,339507.0,293510.0,45997.0,0.47700000000000004,0.0,0.062000000000000006,0.0,0.126,0.0,36982.26,5795.622
Sant Ravidas Nagar (Bhadohi),Total,100,47.2,6.1,18.8,339507.0,293510.0,45997.0,0.0,0.0,0.0,0.0,0.0,0.0,55179.88,8647.436
Sant Ravidas Nagar (Bhadohi),Urban,100,44.0,5.7,55.6,339507.0,293510.0,45997.0,0.0,0.44,0.0,0.057,0.0,0.556,163191.56000000003,25574.332000000002
Mirzapur,Rural,100,51.6,4.8,19.2,543115.0,465152.00000000006,77963.0,0.516,0.0,0.048,0.0,0.192,0.0,89309.18400000001,14968.896
Mirzapur,Total,100,50.1,4.6,26.2,543115.0,465152.00000000006,77963.0,0.0,0.0,0.0,0.0,0.0,0.0,121869.82400000002,20426.306
Mirzapur,Urban,100,40.7,3.5,68.5,543115.0,465152.00000000006,77963.0,0.0,0.40700000000000003,0.0,0.035,0.0,0.685,318629.12000000005,53404.655000000006
Sonbhadra,Rural,100,55.8,1.8,13.7,428088.0,337048.0,91040.0,0.5579999999999999,0.0,0.018000000000000002,0.0,0.13699999999999998,0.0,46175.575999999994,12472.479999999998
Sonbhadra,Total,100,51.9,2.3,24.1,428088.0,337048.0,91040.0,0.0,0.0,0.0,0.0,0.0,0.0,81228.56800000001,21940.640000000003
Sonbhadra,Urban,100,34.4,4.7,70.7,428088.0,337048.0,91040.0,0.0,0.344,0.0,0.047,0.0,0.7070000000000001,238292.93600000002,64365.280000000006
Etah,Rural,100,56.6,7.0,9.2,401998.0,334246.0,67752.0,0.5660000000000001,0.0,0.07,0.0,0.092,0.0,30750.631999999998,6233.184
Etah,Total,100,54.6,6.4,19.8,401998.0,334246.0,67752.0,0.0,0.0,0.0,0.0,0.0,0.0,66180.708,13414.896
Etah,Urban,100,43.4,3.1,78.3,401998.0,334246.0,67752.0,0.0,0.434,0.0,0.031000000000000003,0.0,0.783,261714.61799999996,53049.81599999999
Kanshiram Nagar,Rural,100,61.5,8.9,11.2,343724.0,271234.0,172714.75617792422,0.615,0.0,0.08900000000000001,0.0,0.11199999999999999,0.0,30378.207999999995,19344.05269192751
Kanshiram Nagar,Total,100,59.3,8.0,24.0,343724.0,271234.0,172714.75617792422,0.0,0.0,0.0,0.0,0.0,0.0,65096.159999999996,41451.54148270181
Kanshiram Nagar,Urban,100,50.1,4.4,76.9,343724.0,271234.0,172714.75617792422,0.0,0.501,0.0,0.044000000000000004,0.0,0.7690000000000001,208578.946,132817.64750082372
