District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Sonipat,283858,142496,13341,159528,133576,47553,4541,123157
Jind,278335,142229,13916,142785,89665,30396,2510,78546
Fatehabad,203020,94201,11572,148001,55360,18711,2712,50322
Sirsa,245476,102363,14483,214791,93316,30794,3825,89490
Hisar,302013,140436,16610,188758,154113,49624,5085,137931
Bhiwani,357047,163884,18923,175667,99235,41281,4366,86135
Rohtak,175203,86375,8234,102318,131739,43869,3556,121331
Jhajjar,211816,95529,10378,123912,78328,32036,3524,71826
Mahendragarh,223726,94188,6935,87253,44216,16448,1238,34134
Rewari,199449,83170,6581,99325,69305,21484,1663,60849
Gurgaon,141703,55689,4534,92957,381988,104664,14897,350282
Mewat,187398,109440,16865,33356,36237,14929,1739,22648
Faridabad,87700,37886,3771,51392,382981,149745,9191,341619
Palwal,186069,95081,11722,59728,63090,22838,2271,52238
North West,67592,31497,3041,43326,959275,329990,31656,824017
North,4512,1141,40,4421,296559,110023,10379,266606
North East,5326,1938,149,5059,482255,171682,9645,458624
East,1086,72,13,1065,461132,111593,8761,430697
West,1809,873,32,1575,699703,201514,19591,629032
South West,41179,14618,1358,36113,606503,168001,15769,553130
South,2918,1205,134,2643,728145,220627,21116,640767
Ganganagar,397697,167430,9942,323327,164897,53096,5441,154343
Hanumangarh,389059,143173,9337,320195,108694,34999,3369,102063
Bikaner,335754,169891,16451,99047,196179,53556,3335,181661
Churu,344897,135199,20004,162101,148996,45294,3277,130371
Jhunjhunun,500452,122110,12010,228706,150357,38190,2706,124044
Alwar,782294,309006,28162,115779,212967,61334,3407,168882
Bharatpur,0,0,0,0,129697,54472,3112,90139
Dhaulpur,214670,125367,14168,10304,58626,23333,2051,36817
Karauli,305047,190349,17082,25013,59308,24612,1838,37008
Sawai Madhopur,282057,155695,12410,24821,71264,24799,1852,51452
Dausa,361084,170070,19137,33580,59610,15975,834,45899
Jaipur,754841,321562,31703,166065,977838,264994,11734,886899
Sikar,527560,165653,14771,212079,178274,47955,2852,150998
Nagaur,675712,313530,42569,179063,166489,53276,3995,134190
Jodhpur,584215,289186,30379,80037,307442,79320,5226,277005
Jaisalmer,159117,89264,5091,26572,30830,12455,524,20501
Barmer,542825,322438,28769,52654,55980,16234,1399,46351
Jalor,419216,218411,35214,47371,48202,17593,1928,29837
Sirohi,238535,121175,16458,38642,69639,18663,1323,47493
Pali,512909,256967,27697,95913,139808,46416,3495,96607
Ajmer,409335,204258,13917,57716,274919,76702,3024,236980
Tonk,298911,161710,5679,20624,81755,29677,2043,53713
Bundi,239836,135027,8154,19906,63452,21319,1269,40736
Bhilwara,530015,294158,19080,55651,145865,43905,1896,108961
Rajsamand,304622,166323,12794,34422,61054,18865,610,43592
Dungarpur,322816,200468,20014,29376,31547,8076,662,23376
Banswara,390437,267839,35529,26940,39407,9260,906,32510
Chittaurgarh,366780,201362,13204,35210,88873,23817,1599,64432
Kota,203454,94199,5696,25024,311735,91338,5922,239412
Baran,249184,126336,7724,18688,69804,24361,1396,39997
Jhalawar,298624,178278,12840,21500,63763,19128,1339,42657
Udaipur,665449,399934,25287,61886,182769,40209,2193,157546
Pratapgarh,209813,132601,5245,13008,24269,5824,339,17012
Pratapgarh,209813,132601,5245,13008,41701,10008,583,29232
Pratapgarh,209813,132601,5245,13008,24269,7693,728,15556
Pratapgarh,209813,132601,5245,13008,41701,13219,1251,26730
Pratapgarh,711085,449405,17777,44087,24269,5824,339,17012
Pratapgarh,711085,449405,17777,44087,41701,10008,583,29232
Pratapgarh,711085,449405,17777,44087,24269,7693,728,15556
Pratapgarh,711085,449405,17777,44087,41701,13219,1251,26730
Pratapgarh,209813,93786,13218,23708,24269,5824,339,17012
Pratapgarh,209813,93786,13218,23708,41701,10008,583,29232
Pratapgarh,209813,93786,13218,23708,24269,7693,728,15556
Pratapgarh,209813,93786,13218,23708,41701,13219,1251,26730
Pratapgarh,711085,317854,44798,80352,24269,5824,339,17012
Pratapgarh,711085,317854,44798,80352,41701,10008,583,29232
Pratapgarh,711085,317854,44798,80352,24269,7693,728,15556
Pratapgarh,711085,317854,44798,80352,41701,13219,1251,26730
Saharanpur,605082,281363,34489,259580,284156,105990,8808,261423
Muzaffarnagar,673746,338220,30992,369886,296104,118441,9475,274192
Bijnor,683875,359718,37613,344673,224648,95924,7188,207574
Moradabad,692398,439672,41543,330966,355518,164249,11376,332764
Rampur,396775,257506,24600,223781,143217,69460,5585,135053
Jyotiba Phule Nagar,335888,203212,19817,135362,115486,58551,4619,106247
Meerut,381520,190378,15642,202587,422303,151606,8868,392319
Baghpat,246055,128686,7873,144680,69991,32545,2169,60542
Ghaziabad,355407,180191,12794,212533,836316,285183,15053,792827
Gautam Buddha Nagar,170835,72263,4100,88321,338935,95240,4406,310125
Bulandshahr,658449,370706,28313,203460,221628,95964,6205,188383
Aligarh,582117,330060,25031,124573,275942,116999,7450,232895
Mahamaya Nagar,288150,158770,12102,47544,84883,39385,2716,61709
Mathura,407488,217191,16299,79867,177802,72009,4089,144375
Agra,496971,262897,21369,82497,406852,155417,7730,333618
Firozabad,349747,201454,23433,39871,185621,96708,7424,152394
Mainpuri,338475,180745,25385,45694,72783,30277,3202,54878
Budaun,710956,464965,57587,149300,156668,81154,9870,121417
Bareilly,631613,397916,48634,282962,362798,169063,14511,334862
Pilibhit,371752,233088,34201,131971,89638,40874,7529,79598
Shahjahanpur,520289,319977,62434,140478,134714,66952,11046,115719
Kheri,754938,483160,83798,138153,107672,49313,9582,82046
Sitapur,827583,512273,100137,98482,111319,47199,9462,80149
Hardoi,786613,490059,65288,136870,121064,56173,7990,89587
Unnao,596317,351827,43531,94218,121039,53499,6172,86784
Lucknow,344155,196856,28564,73993,717566,223163,29420,629305
Rae Bareli,705025,390583,54991,94473,73393,25027,3816,52182
Farrukhabad,316647,188721,27231,75678,94843,43343,4457,77486
Kannauj,299785,174774,26381,65053,65985,28571,3893,49884
Etawah,265643,145306,20720,52597,85483,34620,3590,71292
Auraiya,255836,141221,23025,52190,58438,22557,2337,43945
Kanpur Dehat,363933,206713,30570,83704,41323,16322,2438,27397
