District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Rayagada,237343,165428,13528,15664,49205,17615,2115,29769
Nabarangapur,342840,237588,15084,19884,29424,15123,1441,15712
Koraput,381789,250835,20234,31306,78339,30473,4386,50842
Malkangiri,167884,112985,12423,10073,15839,7238,1330,7555
Koriya,121852,61535,2680,10357,59763,22411,776,35439
Surguja,0,0,0,0,65167,19159,1042,39947
Jashpur,0,0,0,0,20722,7832,248,8744
Raigarh,354278,203355,17005,46056,66638,25189,1999,38183
Raigarh,354278,203355,17005,46056,377160,142566,11314,216112
Raigarh,354278,203355,17005,46056,66638,11794,733,53976
Raigarh,354278,203355,17005,46056,377160,66757,4148,305499
Raigarh,581868,333992,27929,75642,66638,25189,1999,38183
Raigarh,581868,333992,27929,75642,377160,142566,11314,216112
Raigarh,581868,333992,27929,75642,66638,11794,733,53976
Raigarh,581868,333992,27929,75642,377160,66757,4148,305499
Raigarh,354278,100260,12754,180327,66638,25189,1999,38183
Raigarh,354278,100260,12754,180327,377160,142566,11314,216112
Raigarh,354278,100260,12754,180327,66638,11794,733,53976
Raigarh,354278,100260,12754,180327,377160,66757,4148,305499
Raigarh,581868,164668,20947,296170,66638,25189,1999,38183
Raigarh,581868,164668,20947,296170,377160,142566,11314,216112
Raigarh,581868,164668,20947,296170,66638,11794,733,53976
Raigarh,581868,164668,20947,296170,377160,66757,4148,305499
Korba,206598,112389,6611,24585,126055,37438,2016,73868
Janjgir - Champa,379583,223953,21256,41754,61190,26801,2325,27168
Kabeerdham,187311,114072,11613,16857,23868,8759,1217,11814
Rajnandgaon,313604,149589,10662,58016,76528,25101,1913,40712
Durg,533448,279526,26672,74682,349741,103523,7694,218937
Raipur,673499,383894,39736,86881,395001,118895,11455,256750
Mahasamund,274793,164875,12640,41768,35774,14738,1466,17922
Dhamtari,168689,92947,7084,40822,41792,16382,1462,22400
Uttar Bastar Kanker,169191,78673,5075,25040,24878,9403,796,15150
Bastar,316425,165173,10758,43983,54894,19432,1591,33485
Narayanpur,26916,15503,1184,1103,6179,3416,135,2731
Dakshin Bastar Dantewada,106545,53379,3409,7671,31304,11050,907,15589
Bijapur,50449,28503,2118,1362,7942,4860,246,2231
Bijapur,50449,28503,2118,1362,131041,80197,4062,36822
Bijapur,50449,28503,2118,1362,7942,2199,230,4725
Bijapur,50449,28503,2118,1362,131041,36298,3800,77969
Bijapur,396449,223993,16650,10704,7942,4860,246,2231
Bijapur,396449,223993,16650,10704,131041,80197,4062,36822
Bijapur,396449,223993,16650,10704,7942,2199,230,4725
Bijapur,396449,223993,16650,10704,131041,36298,3800,77969
Bijapur,50449,21037,3430,2522,7942,4860,246,2231
Bijapur,50449,21037,3430,2522,131041,80197,4062,36822
Bijapur,50449,21037,3430,2522,7942,2199,230,4725
Bijapur,50449,21037,3430,2522,131041,36298,3800,77969
Bijapur,396449,165319,26958,19822,7942,4860,246,2231
Bijapur,396449,165319,26958,19822,131041,80197,4062,36822
Bijapur,396449,165319,26958,19822,7942,2199,230,4725
Bijapur,396449,165319,26958,19822,131041,36298,3800,77969
Sheopur,150146,90688,7957,8708,26376,10708,844,15087
Morena,319298,170824,16603,21392,95288,34017,2001,70322
Bhind,271211,139944,12475,25222,88385,35972,2209,59483
Gwalior,172720,83078,7772,29880,272172,73214,5443,236789
Datia,160453,74931,4332,18131,43401,15103,1302,27386
Shivpuri,367859,199747,15450,20600,66759,21029,1869,43860
Tikamgarh,322772,144279,9360,12588,60220,19812,1625,27219
Chhatarpur,375869,169892,9772,19545,95048,27658,1520,55032
Panna,256744,121953,7702,12837,32179,11584,740,17312
Sagar,448408,231378,21075,50221,165507,53127,4137,107083
Damoh,303387,164132,15169,17899,66514,22681,1928,37380
Satna,461831,181037,10160,105297,114173,26716,2625,69074
Rewa,523910,181796,11002,93255,94489,20598,2267,56220
Umaria,138100,65183,5800,8009,29966,8480,629,16541
Neemuch,174235,80670,4878,22999,67962,18757,951,43223
Mandsaur,302287,150236,6952,40204,81832,24140,1391,55809
Ratlam,266716,153895,9335,35739,107151,29466,1500,88721
Ujjain,300765,165119,11429,53836,188684,56793,3584,157739
Shajapur,312611,177250,13754,41889,73997,23753,1775,49355
Dewas,274995,134747,17049,59673,101014,30809,2626,78083
Dhar,412348,232976,19380,79170,103364,31732,3100,78970
Indore,200371,82953,9217,83153,587947,136991,15874,530916
Khargone (West Nimar),383543,218235,24163,49860,76620,22602,2451,56545
Barwani,250358,150715,13018,25786,48912,18293,2005,32330
Rajgarh,331894,200463,21573,25887,69823,24926,2234,42592
Vidisha,292579,132245,8777,33646,83830,25651,1760,59938
Bhopal,118893,55404,5112,25561,581826,175129,15127,488152
Sehore,270427,117906,17848,58682,59220,18535,1480,46843
Raisen,251272,116590,18091,46485,74441,27096,2977,53597
Betul,318945,145438,15309,41143,87704,26574,2631,62796
Harda,112714,47565,8678,43169,31845,8438,1401,25253
Hoshangabad,209650,92036,21384,70861,105746,30349,3595,85231
Katni,276151,128410,12150,23748,72880,20843,1749,47955
Jabalpur,272284,125795,15520,72972,352477,103628,10221,282686
Narsimhapur,230659,112792,22604,63431,53059,17880,3130,38096
Dindori,218021,111626,5886,8066,9774,3684,537,5405
Mandla,279674,120819,12025,18738,37258,10655,1490,24254
Chhindwara,413142,207810,21070,50816,140802,47168,5209,93351
Seoni,335045,151105,16417,50926,47542,13169,1663,35133
Balaghat,400074,153228,21603,46808,70793,20813,2406,44670
Guna,212765,104680,6170,15744,72320,24299,2386,43102
Ashoknagar,169606,74626,4579,11872,37135,14037,631,20907
Shahdol,233594,103248,6774,17753,57846,16891,1561,36847
Anuppur,0,0,0,0,0,0,0,0
Sidhi,250953,95864,4768,10289,25916,6945,388,12698
Singrauli,228732,101557,4345,5032,58593,15878,1523,30526
Jhabua,211080,132136,10765,12242,24713,6301,444,18979
Alirajpur,135866,84372,5434,6793,14662,4369,381,11040
Khandwa (East Nimar),265663,139207,21253,46225,63425,19725,2790,43953
Burhanpur,115979,56133,7422,21456,62861,26213,2451,43122
Kachchh,488293,124026,5371,240240,250982,53710,2509,220613
Banas Kantha,666773,258707,26670,114018,137424,32706,2061,107190
Patan,301483,112453,11456,108232,102655,26177,1539,84587
Mahesana,476005,156129,12376,211346,183738,40054,2388,156177
Sabar Kantha,544024,223593,11424,169191,121509,32928,1944,93197
Gandhinagar,237624,86970,5465,101703,195634,47734,2543,158072
Ahmadabad,353169,143033,7063,116192,1845383,441046,11072,1699597
Surendranagar,340788,124046,7838,70883,159810,38034,2237,111867
Rajkot,459474,130490,6892,202168,721532,158015,7936,624125
Jamnagar,347158,104494,5554,120810,299167,68808,2991,250701
Porbandar,96015,29188,2208,37541,87557,21539,1138,67769
Junagadh,489237,159980,8317,225049,287506,68713,4025,246392
Amreli,313714,90663,5333,163444,116899,28874,1168,91648
Bhavnagar,387251,128567,5808,124307,356826,91704,3925,291170
Anand,413078,170601,8674,170601,208909,54525,2715,173394
Kheda,461479,194744,11536,117215,160547,40136,2408,126029
Panch Mahals,463363,233534,12047,78771,104238,25434,1146,87664
Dohad,323697,192599,6797,19745,52807,12462,580,37915
Vadodara,547454,251828,10949,156024,692971,137901,5543,636840
Narmada,138121,60635,1795,22099,22248,7497,422,16619
Bharuch,300677,114858,4510,137710,181319,36626,1087,162099
The Dangs,52102,18913,573,13181,7516,2014,52,4344
Navsari,267739,92369,3748,119143,141417,28283,1272,121194
Valsad,262410,104176,3411,72425,235981,58051,2123,179345
Surat,369840,114280,4438,184550,1529998,302939,7649,1435138
Tapi,192272,69794,1922,44222,26217,7812,209,20318
Diu,9788,1243,29,4238,9062,969,18,6769
Daman,10006,2641,90,5733,61073,22658,366,53011
Nandurbar,333440,163052,13004,74357,71572,20899,2361,45448
Dhule,382777,143158,13014,71579,146013,33144,2336,95346
Jalgaon,796223,309730,43792,179946,373565,101236,6350,242443
Buldana,575405,269864,38552,167442,152787,52558,5347,93047
Akola,308158,146375,21879,95220,196077,66274,7254,141763
Washim,274925,127290,18419,75604,55921,19963,1453,37634
Amravati,508921,226978,33588,209166,272894,85415,7913,214494
Wardha,268486,117328,25506,126725,120218,28852,4448,94250
Nagpur,430844,168029,35760,198619,877522,207972,24570,789769
Bhandara,283843,123755,22991,158384,72575,18143,2467,61180
Gondiya,319702,128839,16624,151858,66813,18039,2204,51646
Gadchiroli,293586,125067,25541,65176,37254,10058,1490,24550
Chandrapur,451324,186396,50548,131335,233331,58799,7933,167298
Yavatmal,629243,295114,50968,137174,168889,49484,6586,115182
Nanded,591119,302652,46107,113494,230563,80697,9222,168772
Hingoli,242456,113226,14547,65220,41913,16220,1299,27536
Parbhani,293480,138816,24358,39032,133759,47885,5885,89484
Jalna,404746,165945,27927,118185,98084,35800,3040,68854
Nashik,904661,312108,50661,265065,764271,185717,19106,528111
Thane,713994,262749,41411,283455,2904157,630202,31945,2163596
Pune,1165718,278606,57120,720413,2056739,429858,26737,1655674
Ahmadnagar,1041393,318666,77063,407184,282011,65144,7050,207560
Bid,563114,230876,45049,86719,135457,41720,3928,93600
Latur,428616,171875,24431,106296,157016,48046,4082,122315
Osmanabad,367158,140254,22763,81509,77832,24594,2179,44986
Solapur,779929,230858,60834,250357,376302,115901,7149,229167
Satara,774522,215317,41049,542939,200949,41596,5425,151515
Ratnagiri,538538,154560,22080,361897,100824,16736,1915,82675
Sindhudurg,295847,81653,13608,220110,44989,10707,1349,39050
Kolhapur,796496,193548,15929,592593,382818,84985,4593,285965
Sangli,626872,171762,31970,379257,226801,57380,5443,175997
Adilabad,597466,213295,38835,82450,220248,51758,6166,155715
Nizamabad,565165,179722,24302,166158,155133,39403,3412,132638
Karimnagar,877236,284224,44739,300014,288044,60489,5184,243109
Medak,593653,205403,26120,188781,195479,37922,2345,165375
Rangareddy,432098,110184,9506,187962,1129224,182934,7904,1084055
Mahbubnagar,848963,261480,52635,151964,161052,30599,2737,125781
Nalgonda,833504,285058,49176,265887,197433,47976,3356,160315
Warangal,758738,294390,64492,225345,288249,68315,8359,237517
Khammam,669262,226879,34801,250303,201363,45508,4429,171964
Srikakulam,752752,241633,26346,96352,149684,32032,2544,98641
Vizianagaram,592458,183069,19551,63393,157056,31411,2984,104285
Visakhapatnam,718847,213497,23003,153833,660493,112283,7265,551511
East Godavari,1199479,364641,46779,563755,406362,84929,6908,354754
West Godavari,1007255,302176,48348,593273,248373,52406,5464,220306
Krishna,909292,280061,40008,511022,567042,113975,9639,527349
Guntur,1069877,331661,44934,497492,513113,112371,9749,442816
Prakasam,873486,260298,36686,244576,214089,45386,4281,165704
Sri Potti Sriramulu Nellore,689137,192269,29632,175729,264376,43886,5023,208328
Y.S.R.,590589,129338,15355,167727,293504,54591,3228,232161
Kurnool,783853,211640,25867,216343,306982,64466,4297,223175
Anantapur,902997,195950,26186,198659,341431,71359,4438,260170
Chittoor,0,0,0,0,395900,58197,4750,322658
Belgaum,962777,370669,45250,178113,356198,90830,6767,257887
Bagalkot,324799,139338,16889,23385,165858,54567,6136,70489
Bidar,287134,162804,14356,25267,102269,30680,3068,69645
Raichur,330446,142752,23461,33044,125402,38749,4514,63202
Koppal,272968,107549,14194,32756,64681,17269,2393,31305
Gadag,180066,75267,9183,16566,111906,39950,3804,47336
Dharwad,199707,80681,7788,46132,283397,82185,5667,232385
Uttara Kannada,334281,160789,21393,169146,140511,52410,4496,113251
Haveri,315076,141469,15753,88851,98488,29447,2856,68646
Bellary,371604,148269,20066,44964,251876,72540,7556,159941
Chitradurga,349704,157366,20632,66793,97644,30953,1952,72158
Davanagere,354680,163507,20571,105694,176011,54035,4928,142392
Shimoga,352444,161419,25728,217810,201662,64935,6453,176857
Udupi,269817,93086,11332,225567,115572,28893,2427,110949
Chikmagalur,311660,141805,17141,168608,80766,24633,2342,72204
Tumkur,685443,280346,39755,125436,204799,57138,5119,168959
Bangalore,300576,86565,7514,224830,2967384,590509,32641,2872427
Mandya,458867,202819,20649,126188,103435,31961,3206,88850
Hassan,496103,241602,30758,132459,132878,39464,3189,119457
Dakshina Kannada,332919,135830,12318,293301,317373,83469,5077,309756
Kodagu,181182,72472,8334,142771,31792,10618,1017,30838
Mysore,540596,259486,28651,145960,380386,108410,8368,358323
Chamarajanagar,262680,124773,18387,40452,57200,21392,2574,36779
Gulbarga,400704,173905,14826,18031,199303,57399,2989,135924
Yadgir,207787,106386,11428,8934,55208,18991,1601,22193
Kolar,326567,133565,16654,83274,151042,47729,2416,121135
Chikkaballapura,315649,120893,15466,72599,94053,26240,1504,79286
Bangalore Rural,231052,84333,8548,174444,95410,27764,1621,87109
Ramanagara,266950,116123,18152,74746,84834,29013,2714,75078
North Goa,115859,26647,2085,79595,209230,41009,2301,178473
South Goa,88620,20737,1772,65401,162873,39741,2443,138767
Kasaragod,251641,80273,19124,223457,166164,30740,4486,160514
Kannur,306288,95255,18989,294955,566191,109841,11890,557698
Wayanad,266183,94228,23956,244089,11805,4722,649,11250
Kozhikode,323793,87747,21370,314079,666543,128642,23995,654545
Malappuram,634543,175133,26650,612333,522586,111310,13064,514747
Palakkad,665899,235728,35958,587322,228442,64192,7538,216791
Thrissur,336748,118535,17174,326308,715119,203808,29319,702961
Ernakulam,369694,109429,18484,358233,804997,179514,24954,791312
Idukki,391610,172700,32503,347358,20823,4893,291,20677
Kottayam,481967,168688,22170,462688,196194,51991,5101,192662
Alappuzha,331419,99094,25519,301259,392117,104695,25487,371334
Pathanamthitta,414992,125327,20334,388847,57848,13709,1619,55534
Kollam,523715,156590,39278,487054,401415,97945,22077,386964
Thiruvananthapuram,559293,191278,57047,513990,609824,157944,37199,587260
Thiruvallur,387237,125464,12778,109588,732196,132527,7321,650190
Kancheepuram,438799,139099,10092,128568,774705,136348,6197,663147
Vellore,653499,181672,15030,125471,486801,102228,7302,346602
Tiruvannamalai,563102,163299,12951,70387,147061,27500,1911,95736
Viluppuram,808042,290895,16160,106661,159272,37906,2389,104482
Salem,572813,184445,13174,83630,597539,145799,7768,328048
Namakkal,370357,94070,6666,115551,257127,62481,3085,140391
Erode,411286,117627,8225,138603,432398,102910,4756,275869
The Nilgiris,112126,38795,2354,47429,151979,55320,2887,89515
Dindigul,443818,139802,7988,83881,269724,69858,3776,154821
Karur,212241,61549,4669,48815,152420,30636,1371,102273
Tiruchirappalli,452707,134906,10864,108649,423020,90526,5076,313880
Perambalur,155413,46934,3419,24244,33179,5607,298,18314
Ariyalur,223955,84878,7614,31801,30322,8399,606,15555
Cuddalore,497429,193499,11938,98988,260780,68845,3911,178895
Nagapattinam,399016,178360,12768,124492,118724,36804,2849,82750
Thiruvarur,321331,143956,13174,101219,86848,24230,1476,63225
Thanjavur,479070,206479,21558,137972,274302,78724,5486,205177
Pudukkottai,399712,157886,16787,70749,104229,26161,1667,72230
Sivaganga,309224,98024,9276,73904,143193,31502,2004,112406
Madurai,417718,134087,8772,86467,592723,102541,4741,502629
Theni,189328,66643,3975,46953,221295,66167,2876,115073
Virudhunagar,363782,98221,6184,53112,370942,71591,3338,173971
Ramanathapuram,290478,99924,8714,65357,126761,31817,2028,89493
Thoothukkudi,336078,112586,6721,94773,300661,69753,3908,219783
Tirunelveli,547962,166032,8767,181923,516705,129692,5683,325007
Kanniyakumari,104253,37114,2814,86634,493788,162950,14813,436508
Dharmapuri,396819,131347,9920,42459,91107,20954,1457,53753
Krishnagiri,437988,143222,9635,84093,142552,26087,855,111618
Coimbatore,284795,78033,4556,94836,884957,213274,7079,689381
Tiruppur,356886,98500,6067,110277,538022,126973,3766,403516
Karaikal,35618,13107,747,16954,33715,7080,404,25083
South Andaman,34901,11691,1221,22580,50631,10835,607,44454
